,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy,ID
0,2023-02-06,2024-01-12,340 days,99.15254237288136,10284.718717285152,10484.024600463861,2.847187172851518,51.29104562138639,3.043125462678198,2.0780732691134016,1.464397578231941,2.4032304999483354,1.0825785631539167,-2.810997341211474,-0.34528652802078674,175 days,18 days,38,63.1578947368421,19.32124114796818,-10.088658147693618,1.3686531261345225,48 days,11 days,2.1343275028809945,1.5210463606719926,1.1443463171819308,LSTMBasedStrategy,MSFT
1,2023-02-06,2024-01-12,340 days,99.15254237288136,10109.091470245365,10349.005999023442,1.090914702453647,22.53344981489428,1.1653043412967135,3.1734236036125782,0.3672073088415137,0.5472515180084372,0.4177046312921817,-2.7897807541463204,-0.783262650367685,115 days,28 days,172,50.0,8.9493744745057,-7.940853602713194,0.10423075796919257,38 days,9 days,1.1509417632499805,0.14301461289623973,0.5855229288360764,LSTMBasedStrategy,AAPL
2,2023-02-06,2024-01-12,340 days,99.15254237288136,9744.487436645502,10130.729262329101,-2.5551256335449763,159.42433361910852,-2.725972343719807,4.255974468935225,0.0,0.0,0.0,-5.429355651844691,-1.5743715878287046,284 days,67 days,34,52.94117647058824,13.957478675041045,-22.4004417003149,-0.3749995050590038,34 days,11 days,0.9835178047573769,-0.049089002605463755,-0.7056984949365214,LSTMBasedStrategy,NVDA
3,2023-02-06,2024-01-12,340 days,99.15254237288136,10769.19437599181,10769.19437599181,7.691943759918103,51.321192655501925,8.234353817361239,4.9639886854518425,1.6588180068770069,2.838509271704029,4.257127411433114,-1.9342512031109815,-0.6430715757109777,121 days,18 days,156,69.23076923076923,10.828669912066369,-9.310245579082022,1.4266922016586525,39 days,10 days,2.6910694336559784,1.492320059936446,3.296794027243748,LSTMBasedStrategy,AMZN
4,2023-02-06,2024-01-12,340 days,99.15254237288136,10620.777175720215,10711.073141296389,6.207771757202154,101.2737800431504,6.6423251936787775,4.796834799572064,1.3847308634167166,2.781146958682082,3.739953242463355,-1.776044983199776,-0.46855842262002195,91 days,15 days,45,55.55555555555556,26.955808389569057,-9.276693987425254,2.9598785863764965,48 days,18 days,3.2446789392570965,3.327682333623149,2.215287662201718,LSTMBasedStrategy,META
5,2023-02-06,2024-01-12,340 days,99.15254237288136,10701.182798141475,10808.002267684946,7.011827981414753,39.40272909197892,7.504627290150401,4.336149773425864,1.730712194523949,3.0832656073396647,3.79515203207555,-1.9774246793602512,-0.5556133087449778,84 days,19 days,172,61.04651162790697,13.547483025633378,-6.238749626642748,0.9787952502885888,34 days,9 days,2.2582118325335183,1.0428428817672668,2.907778790237107,LSTMBasedStrategy,GOOG
6,2023-02-06,2024-01-12,340 days,99.15254237288136,9998.955136047365,10132.718230468749,-0.010448639526348415,17.893850712314308,-0.011156982347382272,1.1728092945545585,0.0,0.0,0.0,-1.610136873408119,-0.4194951671528002,193 days,40 days,31,41.935483870967744,5.305481808146695,-5.797309161557362,-0.383905825403541,36 days,12 days,0.7177577301608035,-0.348072784888384,-0.009923663857801163,LSTMBasedStrategy,BRK-B
7,2023-02-06,2024-01-12,340 days,99.15254237288136,10146.679156249998,10373.584128173829,1.466791562499984,90.40454182826917,1.5670102931916174,2.2077137952028703,0.7097886948011857,0.9260951794265374,0.7164018032885764,-2.187334378554606,-0.22146714643844376,219 days,19 days,32,56.25,19.133059838188515,-20.087946875031083,0.45622365483342087,38 days,13 days,1.357789091663837,0.7775436413099339,0.6145516070721057,LSTMBasedStrategy,LLY
8,2023-02-06,2024-01-12,340 days,99.15254237288136,10106.603955368046,10388.376680252075,1.0660395536804572,19.116407294845246,1.1387234176464922,3.4982111626048464,0.3255159179123347,0.5354316868061009,0.3651111046508817,-3.11884082171463,-0.8863932809900228,193 days,37 days,155,52.903225806451616,12.193029220692253,-9.178744198247824,0.240893261903663,37 days,11 days,1.270029531331797,0.30317317319530246,0.5719532922157495,LSTMBasedStrategy,JPM
9,2023-02-06,2024-01-12,340 days,99.15254237288136,10117.914152832032,10120.49476513672,1.1791415283203242,84.21421523333183,1.2595847602376864,2.757499813782177,0.4567850753578273,0.6561779520715887,0.7451568958315058,-1.6903618114305186,-0.7074330744310298,101 days,46 days,30,60.0,10.055446854984694,-17.934720521896285,0.17269981195930928,34 days,12 days,1.1906286181088308,0.3335325791726336,0.4439793736851092,LSTMBasedStrategy,AVGO
10,2023-02-06,2024-01-12,340 days,99.15254237288136,10172.869453933714,10317.773134368897,1.728694539337139,-10.543279383120485,1.8469700972602698,3.611737154052598,0.5113799865496448,0.7663017443433904,0.8314313408944477,-2.22143429819871,-0.8921068858259339,109 days,33 days,157,56.05095541401274,9.477468893512686,-10.192406541943432,0.3156861472102701,46 days,10 days,1.3263042792090358,0.37753877792837687,0.8419751212943887,LSTMBasedStrategy,XOM
